code,coding_system,description,entity,list_name,upload_date,medcode,CharlsonCategory
4M20.00,Read,lymphoma stage i,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,60918,"Any tumour, leukaemia, lymphoma"
4M21.00,Read,lymphoma stage ii,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,94935,"Any tumour, leukaemia, lymphoma"
4M22.00,Read,lymphoma stage iii,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,32240,"Any tumour, leukaemia, lymphoma"
4M23.00,Read,lymphoma stage iv,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,71672,"Any tumour, leukaemia, lymphoma"
4M71.00,Read,clark melanoma level 2,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,104609,"Any tumour, leukaemia, lymphoma"
4M72.00,Read,clark melanoma level 3,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,96280,"Any tumour, leukaemia, lymphoma"
4M73.00,Read,clark melanoma level 4,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,102116,"Any tumour, leukaemia, lymphoma"
4M74.00,Read,clark melanoma level 5,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,108866,"Any tumour, leukaemia, lymphoma"
5136,Read,X-ray metastasis control,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,48991,"Any tumour, leukaemia, lymphoma"
65Q7.00,Read,viral hepatitis carrier,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6800,Mild liver disease
65QA.00,Read,aids carrier,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,23763,HIV/AIDS
65VE.00,Read,notification of aids,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,33943,HIV/AIDS
661M300,Read,copd self-management plan agreed,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,104117,Chronic pulmonary disease
661N300,Read,copd self-management plan review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,104169,Chronic pulmonary disease
662e.00,Read,stroke/cva annual review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18686,Cerebrovascular disease
662e.11,Read,stroke annual review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,107886,Cerebrovascular disease
662M.00,Read,stroke monitoring,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,10792,Cerebrovascular disease
662M100,Read,stroke 6 month review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,105100,Cerebrovascular disease
662M200,Read,stroke initial post discharge review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,104505,Cerebrovascular disease
662o.00,Read,haemorrhagic stroke monitoring,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,28914,Cerebrovascular disease
662U.00,Read,peripheral vascular disease monitoring,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18499,PVD
663K.00,Read,airways obstructn irreversible,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,4084,Chronic pulmonary disease
66AI.00,Read,diabetic - good control,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13071,Diabetes without end organ damage
66AJ.00,Read,diabetic - poor control,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,2378,Diabetes without end organ damage
66AJz00,Read,diabetic - poor control nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,22023,Diabetes without end organ damage
66j..00,Read,human immunodeficiency virus monitoring,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,98966,HIV/AIDS
66j0.00,Read,human immunodeficiency virus annual review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,101191,HIV/AIDS
66YB.00,Read,chronic obstructive pulmonary disease monitoring,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9520,Chronic pulmonary disease
66YB000,Read,chronic obstructive pulmonary disease 3 monthly review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,102685,Chronic pulmonary disease
66YB100,Read,chronic obstructive pulmonary disease 6 monthly review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,103007,Chronic pulmonary disease
66YB200,Read,telehealth chronic obstructive pulmonary disease monitoring,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109774,Chronic pulmonary disease
66Yd.00,Read,copd accident and emergency attendance since last visit,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,19106,Chronic pulmonary disease
66YD.00,Read,chronic obstructive pulmonary disease monitoring due,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,37371,Chronic pulmonary disease
66Ye.00,Read,emergency copd admission since last appointment,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,19003,Chronic pulmonary disease
